EmployeeID,EmployeeName,Role,Phone,Email,BranchID,HireDate,SalaryINR,ManagerID,Status
42,Akhil Patel,Merchandiser,6800703606,akhilpatel28@demo.in,313,2025-06-22 00:00:00,19867.42,506,Active
43,Deepak Sharma,Driver,7169493774,deepaksharma4396@example.com,221,2023-10-12 00:00:00,54946.49,726,Active
44,Suma Yadav,Warehouse Associate,7114697405,sumayadav6747@demo.in,282,2020-07-25 00:00:00,20372.74,532,Active
45,Deepak Gupta,Sales Representative,9886888591,deepakgupta8892@mail.com,770,2019-06-11 00:00:00,46717.04,558,Active
46,Pavan Iyer,Merchandiser,7827632092,pavaniyer3632@demo.in,624,2022-01-01 00:00:00,45936.49,621,Active
47,Anil Verma,Sales Representative,9296214829,anilverma4449@example.com,815,2019-07-26 00:00:00,40681.38,374,Active
48,Harsha Nair,Accountant,8567102456,harshanair5761@demo.in,527,2024-04-30 00:00:00,24611.48,405,Inactive
49,Chaitanya Iyer,Merchandiser,9380007017,chaitanyaiyer8749@example.com,149,2022-09-26 00:00:00,39451.19,440,Active
50,Deepak Kumar,Delivery Helper,7120609210,deepakkumar5896@mail.com,646,2021-04-03 00:00:00,36785.88,30,Active
51,Sridhar Babu,Sales Representative,9350569940,sridharbabu646@demo.in,322,2023-12-14 00:00:00,44740.37,337,Inactive
52,Vikram Naidu,Warehouse Associate,6577523918,vikramnaidu1285@demo.in,651,2024-12-19 00:00:00,35816.88,23,Inactive
53,Suresh Yadav,Merchandiser,6879313072,sureshyadav7305@demo.in,447,2019-01-10 00:00:00,25624.23,141,Active
54,Arun Reddy,Accountant,9324917418,arunreddy5741@mail.com,462,2023-05-15 00:00:00,32031.12,415,Active
55,Teja Patel,Merchandiser,6956027269,tejapatel1279@mail.com,80,2019-12-17 00:00:00,28542.64,195,Active
56,Manikanta Iyer,Warehouse Associate,8253384782,manikantaiyer6210@example.com,555,2021-03-08 00:00:00,48715.8,852,Active
57,Teja Joshi,Accountant,9803626756,tejajoshi1185@mail.com,34,2022-07-05 00:00:00,43573.67,613,Inactive
58,Madhu Babu,Merchandiser,6650817659,madhubabu9123@demo.in,292,2021-09-07 00:00:00,41782.1,894,Inactive
59,Ravi Nair,Sales Representative,7224778010,ravinair511@example.com,871,2020-04-30 00:00:00,38994.35,123,Active
60,Lakshmi Nair,Sales Representative,6757813140,lakshminair8585@example.com,254,2022-04-14 00:00:00,36436.3,996,Active
61,Sridhar Joshi,Merchandiser,9964154084,sridharjoshi1008@example.com,637,2023-11-16 00:00:00,43838.97,73,Active
62,Arun Yadav,Branch Manager,6002023878,arunyadav4181@example.com,656,2020-12-11 00:00:00,31626.12,,Active
63,Karthik Reddy,Driver,9152551432,karthikreddy8533@demo.in,398,2020-09-25 00:00:00,27496.32,94,Active
64,Rohit Nair,Driver,9633217237,rohitnair6147@mail.com,335,2025-02-09 00:00:00,32462.72,915,Active
65,Vikram Naidu,Sales Representative,7341401615,vikramnaidu9454@example.com,754,2022-11-17 00:00:00,16410.83,491,Active
66,Pavan Shetty,Driver,7673748123,pavanshetty6068@demo.in,993,2022-05-29 00:00:00,34587.12,390,Inactive
67,Chaitanya Verma,Accountant,7067382079,chaitanyaverma6603@example.com,779,2020-02-09 00:00:00,20826.72,391,Inactive
68,Ramesh Shetty,Sales Representative,7612778326,rameshshetty7305@example.com,8,2021-03-19 00:00:00,19442.49,143,Inactive
69,Pooja Shetty,Warehouse Associate,8566019258,poojashetty5968@example.com,394,2021-07-03 00:00:00,20465.09,1000,Inactive
70,Anil Das,Merchandiser,7086314689,anildas8224@demo.in,881,2022-08-04 00:00:00,41157.7,829,Inactive
71,Arun Naidu,Branch Manager,8769484738,arunnaidu2265@mail.com,494,2019-11-25 00:00:00,35581.65,,Inactive
72,Sai Joshi,Merchandiser,8521275908,saijoshi2276@example.com,543,2021-06-25 00:00:00,43206.49,346,Active
73,Prasad Verma,Warehouse Associate,9067304930,prasadverma2761@demo.in,26,2025-02-11 00:00:00,15750.66,241,Active
74,Pooja Nair,Branch Manager,7315877781,poojanair7188@demo.in,553,2022-09-03 00:00:00,33489.76,,Active
75,Ramesh Naidu,Warehouse Associate,9276190323,rameshnaidu6510@mail.com,514,2020-01-02 00:00:00,37933.38,29,Active
76,Teja Shetty,Merchandiser,9768594054,tejashetty7858@mail.com,79,2025-07-24 00:00:00,20754.08,677,Active
77,Vamsi Reddy,Branch Manager,9276914781,vamsireddy9566@mail.com,519,2022-04-26 00:00:00,18781.14,,Active
78,Sirisha Sharma,Branch Manager,8868213814,sirishasharma5050@mail.com,120,2024-09-10 00:00:00,28881.33,,Active
79,Suresh Nair,Warehouse Associate,6669576501,sureshnair6935@demo.in,921,2020-10-08 00:00:00,16583.14,569,Active
80,Arun Nair,Driver,6382176058,arunnair5698@demo.in,383,2019-08-20 00:00:00,52278.92,384,Inactive
81,Ravi Gupta,Delivery Helper,6849154358,ravigupta6311@mail.com,596,2020-04-03 00:00:00,51645.69,32,Active
82,Akhil Iyer,Delivery Helper,6689138223,akhiliyer7194@example.com,225,2023-07-30 00:00:00,44271.6,549,Active
83,Sai Joshi,Branch Manager,7545171432,saijoshi9167@mail.com,522,2022-11-21 00:00:00,34565.87,,Active
84,Suresh Chowdary,Warehouse Associate,8641517313,sureshchowdary6615@demo.in,529,2019-07-13 00:00:00,28514.02,232,Active
85,Prasad Das,Driver,7513910247,prasaddas9356@mail.com,245,2021-08-03 00:00:00,41244.69,549,Active
86,Deepak Patel,Sales Representative,8668433980,deepakpatel4949@mail.com,788,2019-02-19 00:00:00,29334.63,365,Active
87,Prasad Joshi,Branch Manager,6354265987,prasadjoshi1948@demo.in,890,2019-10-22 00:00:00,32328.22,,Active
88,Keerthi Shetty,Driver,7068806202,keerthishetty4977@example.com,465,2023-11-22 00:00:00,47104.05,556,Active
89,Vikram Patel,Branch Manager,9657631555,vikrampatel3519@example.com,842,2022-05-17 00:00:00,47064.1,,Active
90,Ramesh Naidu,Accountant,7009251741,rameshnaidu552@demo.in,70,2020-03-18 00:00:00,28705.57,951,Inactive
91,Prasad Chowdary,Accountant,8214661277,prasadchowdary2876@mail.com,84,2024-02-11 00:00:00,24627.12,983,Active
92,Vikram Verma,Delivery Helper,6614558254,vikramverma3232@demo.in,194,2019-06-27 00:00:00,26803.47,390,Inactive
93,Harsha Joshi,Warehouse Associate,9651110397,harshajoshi5994@example.com,591,2022-01-23 00:00:00,51302.64,793,Active
94,Vikram Gupta,Sales Representative,8110778192,vikramgupta257@demo.in,553,2022-11-08 00:00:00,38221.78,837,Active
95,Naveen Naidu,Driver,6904142057,naveennaidu1403@mail.com,369,2020-06-03 00:00:00,29580.7,185,Active
96,Mahesh Iyer,Warehouse Associate,7606993618,maheshiyer8721@demo.in,260,2021-10-05 00:00:00,25392.27,887,Active
97,Anusha Kumar,Accountant,6266635374,anushakumar6421@demo.in,111,2024-04-09 00:00:00,54293.1,317,Inactive
98,Divya Sharma,Delivery Helper,9320511216,divyasharma5135@demo.in,180,2024-05-20 00:00:00,29014.06,471,Inactive
99,Anusha Sharma,Accountant,8393089848,anushasharma9619@demo.in,853,2025-02-28 00:00:00,42846.49,807,Active
100,Pavan Shetty,Merchandiser,9450670402,pavanshetty6759@example.com,889,2022-10-10 00:00:00,27366.37,255,Active
101,Vamsi Gupta,Delivery Helper,9938249783,vamsigupta6050@mail.com,319,2021-05-15 00:00:00,43474.15,62,Active
102,Keerthi Sharma,Sales Representative,6268530816,keerthisharma2937@example.com,478,2020-12-13 00:00:00,44255.22,541,Inactive
103,Teja Yadav,Branch Manager,7454077721,tejayadav7954@example.com,897,2019-03-28 00:00:00,28858.86,,Inactive
104,Rohit Nair,Merchandiser,9364144129,rohitnair214@mail.com,161,2023-06-24 00:00:00,32086.67,896,Active
105,Anil Verma,Warehouse Associate,7465811934,anilverma4926@demo.in,830,2023-03-07 00:00:00,52211.61,837,Active
106,Ravi Babu,Delivery Helper,7046872227,ravibabu6670@mail.com,967,2023-02-05 00:00:00,42220.02,756,Inactive
107,Chaitanya Chowdary,Branch Manager,6311389905,chaitanyachowdary3836@demo.in,64,2019-08-04 00:00:00,34877.07,,Active
108,Pooja Shetty,Accountant,6686310273,poojashetty6361@example.com,836,2025-10-05 00:00:00,30521.98,327,Active
109,Karthik Shetty,Driver,9274887286,karthikshetty9283@example.com,3,2019-07-22 00:00:00,18841.99,204,Active
110,Naveen Iyer,Delivery Helper,9511006836,naveeniyer4543@mail.com,980,2021-12-29 00:00:00,47932.17,426,Active
111,Neha Reddy,Warehouse Associate,7904643122,nehareddy6744@demo.in,885,2021-07-22 00:00:00,30142.12,108,Inactive
112,Prasad Babu,Driver,7627242564,prasadbabu6918@example.com,63,2024-12-26 00:00:00,20665.71,886,Inactive
113,Suma Naidu,Warehouse Associate,9433303107,sumanaidu2401@demo.in,965,2023-07-09 00:00:00,39754.15,782,Active
114,Chaitanya Das,Delivery Helper,6879828231,chaitanyadas87@example.com,418,2022-01-28 00:00:00,44415.87,639,Active
115,Pavan Nair,Driver,6312429398,pavannair7427@example.com,632,2025-07-25 00:00:00,45521.54,833,Active
116,Sai Naidu,Merchandiser,7901678115,sainaidu7053@example.com,479,2019-04-16 00:00:00,17097.04,113,Inactive
117,Madhu Shetty,Accountant,8606833934,madhushetty3187@demo.in,800,2019-05-25 00:00:00,18841.09,320,Active
118,Teja Das,Merchandiser,6581329938,tejadas6198@demo.in,808,2020-06-08 00:00:00,34572.29,451,Active
119,Keerthi Babu,Branch Manager,9876613838,keerthibabu9652@demo.in,582,2019-07-20 00:00:00,53889.38,,Active
120,Harsha Shetty,Driver,6603332775,harshashetty6374@mail.com,540,2022-04-18 00:00:00,36878.31,234,Active
121,Arun Reddy,Merchandiser,8828865288,arunreddy1622@mail.com,844,2019-06-21 00:00:00,31509.85,652,Active
122,Sirisha Reddy,Accountant,8280557813,sirishareddy5074@demo.in,556,2024-04-10 00:00:00,40953.45,545,Active
123,Manikanta Naidu,Accountant,7517134133,manikantanaidu8309@mail.com,647,2024-03-10 00:00:00,21304.82,857,Active
124,Deepak Babu,Branch Manager,6630319405,deepakbabu7513@example.com,122,2019-12-01 00:00:00,31465.82,,Active
125,Harsha Sharma,Merchandiser,7401988649,harshasharma5910@demo.in,709,2021-05-01 00:00:00,23870.7,602,Active
126,Teja Das,Merchandiser,8720233899,tejadas371@demo.in,146,2023-06-08 00:00:00,16655.1,169,Active
127,Divya Reddy,Merchandiser,9202967061,divyareddy220@example.com,79,2022-06-01 00:00:00,51989.2,470,Active
128,Divya Sharma,Driver,6551670054,divyasharma4552@example.com,429,2020-12-15 00:00:00,38851.91,632,Active
129,Deepak Das,Accountant,6151273599,deepakdas6520@example.com,139,2019-08-09 00:00:00,50609.64,88,Inactive
130,Vamsi Nair,Sales Representative,8469692814,vamsinair5883@mail.com,971,2025-10-08 00:00:00,16375.55,257,Active
131,Sai Verma,Sales Representative,9467538688,saiverma8410@example.com,127,2025-10-27 00:00:00,17130.55,765,Active
132,Naveen Kumar,Accountant,6749522464,naveenkumar700@example.com,35,2023-02-28 00:00:00,30369.72,437,Active
133,Lakshmi Verma,Branch Manager,6079820244,lakshmiverma6640@demo.in,272,2024-03-08 00:00:00,54789.43,,Active
134,Vamsi Chowdary,Driver,8589791104,vamsichowdary6835@demo.in,640,2023-02-12 00:00:00,19983.78,541,Active
135,Harsha Joshi,Delivery Helper,8214976651,harshajoshi6059@mail.com,221,2023-12-13 00:00:00,25859.59,140,Inactive
136,Rohit Nair,Driver,7319904078,rohitnair9018@mail.com,425,2025-05-08 00:00:00,29429,12,Inactive
137,Vamsi Shetty,Accountant,8021808275,vamsishetty9660@example.com,666,2024-10-25 00:00:00,52245.97,357,Active
138,Vikram Verma,Sales Representative,9645794346,vikramverma4434@example.com,232,2023-05-10 00:00:00,43223.73,451,Active
139,Anil Nair,Branch Manager,8136895146,anilnair3073@mail.com,284,2022-08-22 00:00:00,48306.34,,Active
140,Anusha Sharma,Merchandiser,9200824943,anushasharma3007@demo.in,490,2024-04-16 00:00:00,38732.21,421,Active
141,Sridhar Patel,Driver,8912615498,sridharpatel4371@example.com,228,2022-11-11 00:00:00,41877.33,192,Active
142,Vamsi Gupta,Sales Representative,6983050929,vamsigupta5077@example.com,549,2022-02-06 00:00:00,41086.11,415,Active
143,Vikram Sharma,Accountant,8005029087,vikramsharma2627@mail.com,497,2021-03-02 00:00:00,33872.47,593,Active
144,Naveen Joshi,Driver,7410958973,naveenjoshi1697@demo.in,973,2024-03-14 00:00:00,37419.28,925,Active
145,Akhil Yadav,Sales Representative,9142082461,akhilyadav2986@example.com,138,2022-04-26 00:00:00,18627.17,387,Inactive
146,Karthik Shetty,Sales Representative,8731572333,karthikshetty7466@example.com,251,2019-03-18 00:00:00,26737.56,99,Active
147,Prasad Gupta,Accountant,9013558030,prasadgupta3053@demo.in,937,2025-02-20 00:00:00,26178.11,654,Active
148,Suresh Iyer,Delivery Helper,8375510051,sureshiyer110@example.com,169,2023-02-12 00:00:00,48107.06,75,Active
149,Lakshmi Babu,Delivery Helper,6691127601,lakshmibabu4004@example.com,630,2023-10-02 00:00:00,45885.79,725,Active
150,Karthik Babu,Warehouse Associate,7564769290,karthikbabu6491@mail.com,25,2025-01-16 00:00:00,37728.9,817,Active
151,Suma Iyer,Sales Representative,6841166959,sumaiyer1177@example.com,487,2020-10-20 00:00:00,25684.66,731,Active
152,Pooja Reddy,Merchandiser,6055578868,poojareddy2073@demo.in,688,2022-04-13 00:00:00,47058.63,505,Active
153,Chaitanya Reddy,Branch Manager,6311659978,chaitanyareddy8999@mail.com,182,2019-02-13 00:00:00,33800.81,,Active
154,Arun Das,Delivery Helper,7523488622,arundas2958@demo.in,460,2022-02-07 00:00:00,41126.91,266,Active
155,Suresh Nair,Driver,6051907159,sureshnair2455@mail.com,623,2021-08-29 00:00:00,33737.29,680,Active
156,Harsha Babu,Delivery Helper,8788686873,harshababu7723@mail.com,344,2019-06-27 00:00:00,27846.49,72,Active
157,Madhu Shetty,Driver,7499579529,madhushetty517@demo.in,504,2023-08-23 00:00:00,39375.5,1000,Active
158,Arun Joshi,Delivery Helper,6422391321,arunjoshi3794@demo.in,715,2020-04-19 00:00:00,37771.23,329,Active
159,Sai Yadav,Accountant,7404449532,saiyadav4006@demo.in,342,2021-03-27 00:00:00,45558.46,792,Active
160,Ravi Gupta,Warehouse Associate,9369924185,ravigupta7779@mail.com,506,2019-09-15 00:00:00,22920.75,38,Inactive
161,Keerthi Naidu,Branch Manager,6847854620,keerthinaidu1568@mail.com,334,2024-06-12 00:00:00,51737.06,,Active
162,Harsha Joshi,Branch Manager,6346053582,harshajoshi5720@example.com,716,2021-12-18 00:00:00,36810.82,,Inactive
163,Sai Kumar,Delivery Helper,9465554885,saikumar5151@mail.com,551,2022-06-03 00:00:00,30934.69,81,Active
164,Suresh Gupta,Delivery Helper,9454449298,sureshgupta5769@demo.in,387,2020-09-16 00:00:00,38962.96,863,Active
165,Rohit Chowdary,Delivery Helper,9683041795,rohitchowdary1305@mail.com,68,2023-05-25 00:00:00,31242.58,133,Active
166,Naveen Kumar,Accountant,6499955684,naveenkumar8018@demo.in,689,2019-04-28 00:00:00,18424.86,164,Active
167,Pooja Joshi,Merchandiser,6946263834,poojajoshi7645@demo.in,719,2019-04-04 00:00:00,38592.14,774,Active
168,Akhil Patel,Warehouse Associate,7129482154,akhilpatel9129@mail.com,929,2025-04-16 00:00:00,52774.89,630,Active
169,Ravi Reddy,Warehouse Associate,8503349050,ravireddy9415@example.com,190,2024-07-16 00:00:00,16246,955,Active
170,Pavan Reddy,Merchandiser,7739906549,pavanreddy4025@demo.in,848,2021-04-21 00:00:00,47334.65,876,Active
171,Karthik Shetty,Sales Representative,8262668408,karthikshetty2810@example.com,493,2021-03-09 00:00:00,46300.39,446,Active
172,Lakshmi Nair,Merchandiser,8378678223,lakshminair6900@demo.in,74,2022-06-19 00:00:00,33739.9,161,Active
173,Chaitanya Chowdary,Branch Manager,9753187609,chaitanyachowdary6400@mail.com,71,2022-03-17 00:00:00,44592.09,,Inactive
174,Teja Kumar,Delivery Helper,8910478858,tejakumar1189@demo.in,672,2022-10-24 00:00:00,24609.96,495,Inactive
175,Ravi Iyer,Warehouse Associate,7200172961,raviiyer3943@mail.com,464,2021-07-24 00:00:00,36976.41,511,Active
176,Ramesh Gupta,Delivery Helper,8013221887,rameshgupta9062@demo.in,334,2020-03-16 00:00:00,40292.51,187,Inactive
177,Akhil Iyer,Warehouse Associate,6266755423,akhiliyer7227@demo.in,681,2019-04-23 00:00:00,33316.27,827,Inactive
178,Akhil Yadav,Delivery Helper,9107525317,akhilyadav7788@mail.com,547,2019-01-09 00:00:00,25694.22,504,Active
179,Anusha Das,Merchandiser,9512934272,anushadas1301@mail.com,380,2020-02-28 00:00:00,49786.04,34,Inactive
180,Arun Reddy,Driver,6150081767,arunreddy3413@mail.com,80,2021-11-09 00:00:00,30064.1,588,Active
181,Pooja Patel,Warehouse Associate,6935400834,poojapatel8652@mail.com,44,2022-10-25 00:00:00,28345.73,36,Active
182,Neha Nair,Accountant,7016427075,nehanair5469@mail.com,221,2021-06-11 00:00:00,41574.14,707,Active
183,Suma Iyer,Merchandiser,9866473620,sumaiyer7069@example.com,25,2021-12-29 00:00:00,43651.57,84,Active
184,Neha Patel,Driver,9778002862,nehapatel4579@mail.com,530,2020-04-02 00:00:00,47168.98,944,Active
185,Akhil Reddy,Driver,7478741137,akhilreddy1509@mail.com,236,2022-03-02 00:00:00,49988.48,971,Active
186,Prasad Verma,Merchandiser,7985349042,prasadverma9696@mail.com,501,2023-07-23 00:00:00,32948.4,590,Active
187,Naveen Verma,Branch Manager,7898249205,naveenverma1704@mail.com,27,2024-04-08 00:00:00,15359.27,,Active
188,Harsha Kumar,Delivery Helper,9339049887,harshakumar1844@example.com,214,2020-01-19 00:00:00,18013.71,220,Active
189,Karthik Sharma,Merchandiser,7462787499,karthiksharma9746@example.com,437,2019-05-10 00:00:00,19385.58,31,Inactive
190,Sirisha Sharma,Delivery Helper,9257939566,sirishasharma6366@demo.in,666,2021-04-07 00:00:00,23439.55,576,Active
191,Divya Nair,Sales Representative,7908031300,divyanair5606@example.com,248,2022-05-03 00:00:00,52470.94,852,Active
192,Ramesh Gupta,Driver,7628871186,rameshgupta3807@demo.in,441,2025-04-23 00:00:00,23217.32,639,Active
193,Ravi Naidu,Delivery Helper,7339626599,ravinaidu1531@mail.com,370,2021-03-05 00:00:00,54440.08,318,Active
194,Divya Joshi,Merchandiser,8164219989,divyajoshi9951@demo.in,384,2023-02-09 00:00:00,15294.97,79,Active
195,Anusha Naidu,Accountant,7306533103,anushanaidu4641@example.com,596,2022-02-21 00:00:00,52873.31,852,Active
196,Vamsi Shetty,Branch Manager,9496163411,vamsishetty625@example.com,443,2025-09-01 00:00:00,44395.1,,Inactive
197,Anil Chowdary,Branch Manager,8344802933,anilchowdary6901@mail.com,335,2022-06-14 00:00:00,54212.26,,Inactive
198,Vikram Kumar,Accountant,6901657570,vikramkumar3362@demo.in,914,2020-03-16 00:00:00,41930.16,523,Active
199,Anil Iyer,Accountant,6844556206,aniliyer7947@mail.com,746,2021-01-26 00:00:00,26110.13,648,Active
200,Pooja Chowdary,Merchandiser,8571184565,poojachowdary1682@demo.in,211,2020-09-21 00:00:00,18123.17,148,Inactive
201,Suresh Yadav,Driver,6174597553,sureshyadav1776@example.com,72,2020-09-30 00:00:00,33631.13,433,Active
202,Harsha Iyer,Delivery Helper,6151800112,harshaiyer6330@demo.in,957,2024-12-10 00:00:00,19869.3,808,Active
203,Prasad Gupta,Driver,7147908914,prasadgupta9227@example.com,53,2023-02-19 00:00:00,26912.72,916,Inactive
204,Sai Babu,Merchandiser,6365679277,saibabu7959@mail.com,332,2020-08-26 00:00:00,30454.98,621,Active
205,Arun Gupta,Delivery Helper,9186303505,arungupta1817@mail.com,126,2022-10-17 00:00:00,53121.42,324,Inactive
206,Pooja Babu,Branch Manager,6382488776,poojababu216@example.com,275,2025-03-11 00:00:00,33930.38,,Inactive
207,Ramesh Naidu,Sales Representative,9553872662,rameshnaidu6900@demo.in,661,2022-08-08 00:00:00,22677.78,591,Active
208,Madhu Nair,Merchandiser,6640037926,madhunair8844@mail.com,106,2019-05-22 00:00:00,24826.85,427,Active
209,Manikanta Shetty,Sales Representative,9901664678,manikantashetty6273@mail.com,409,2023-11-23 00:00:00,40457.27,751,Active
210,Deepak Yadav,Branch Manager,7839918817,deepakyadav7361@demo.in,495,2021-08-02 00:00:00,18116.79,,Inactive
211,Keerthi Sharma,Merchandiser,6457828687,keerthisharma9682@mail.com,125,2025-09-05 00:00:00,15540.95,442,Inactive
212,Pavan Yadav,Driver,8060410120,pavanyadav4842@mail.com,964,2025-01-05 00:00:00,15219.83,164,Active
213,Sai Gupta,Merchandiser,6364089646,saigupta6931@demo.in,469,2020-05-25 00:00:00,26024.43,7,Active
214,Prasad Iyer,Delivery Helper,6595341413,prasadiyer8781@demo.in,551,2023-04-30 00:00:00,45858.86,275,Active
215,Vikram Gupta,Warehouse Associate,6979754362,vikramgupta6187@mail.com,464,2023-04-26 00:00:00,46546.82,384,Active
216,Prasad Nair,Driver,9618746137,prasadnair440@demo.in,242,2021-08-30 00:00:00,54294.49,822,Active
217,Naveen Shetty,Accountant,9074168447,naveenshetty751@example.com,737,2024-12-25 00:00:00,36204.03,221,Active
218,Vikram Shetty,Driver,9526480052,vikramshetty9872@mail.com,643,2019-08-24 00:00:00,19641.31,420,Active
219,Pavan Chowdary,Sales Representative,6709421694,pavanchowdary7895@demo.in,517,2022-04-15 00:00:00,28634.45,372,Active
220,Keerthi Shetty,Merchandiser,9263133260,keerthishetty4456@mail.com,688,2019-06-27 00:00:00,35332.25,866,Active
221,Madhu Reddy,Sales Representative,8515790336,madhureddy2218@demo.in,744,2023-01-06 00:00:00,33032.27,723,Active
222,Neha Gupta,Warehouse Associate,8890969786,nehagupta2134@mail.com,660,2021-08-20 00:00:00,31995.22,629,Active
223,Madhu Joshi,Accountant,8918859639,madhujoshi2747@mail.com,334,2025-09-08 00:00:00,49434.05,19,Inactive
224,Pooja Chowdary,Warehouse Associate,6068681751,poojachowdary8315@example.com,798,2024-05-09 00:00:00,50750.33,355,Active
225,Vikram Nair,Sales Representative,8524893748,vikramnair3654@mail.com,362,2019-04-04 00:00:00,54912.84,785,Active
226,Suma Patel,Driver,6719057331,sumapatel1398@demo.in,420,2024-10-29 00:00:00,21849.07,887,Active
227,Rohit Kumar,Merchandiser,8573370389,rohitkumar4069@example.com,296,2022-03-22 00:00:00,28618.27,228,Active
228,Sirisha Kumar,Accountant,9647773024,sirishakumar2855@demo.in,303,2023-10-28 00:00:00,39841.17,394,Active
